Escalao;Y/N;Visits
2;Y;7
3;N;4
2;N;1
3;Y;4
3;Y;10
1;N;4
2;Y;6
3;N;8
3;N;7
2;Y;2
1;N;3
2;Y;6
1;Y;5
3;N;11
2;N;3
2;Y;8
2;N;1
3;Y;8
2;N;1
3;N;7
1;N;4
2;N;2
3;N;9
1;Y;5
2;N;3
3;Y;12
1;N;1
1;N;1
2;N;2
2;Y;1
3;Y;4
3;N;12
3;N;12
2;N;3
2;Y;3
2;N;5
2;N;1
3;Y;7
3;Y;11
1;N;2
1;Y;1
3;Y;7
3;Y;9
3;Y;12
2;N;5
2;N;8
1;Y;5
3;Y;5
2;N;5
2;Y;7
2;Y;5
2;Y;3
2;Y;5
2;Y;8
2;Y;1
3;N;3
2;Y;7
3;N;10
3;Y;5
1;N;6
2;N;4
2;N;5
2;Y;2
3;N;4
2;Y;4
3;N;9
3;N;2
1;N;3
3;N;7
2;N;5
3;N;7
3;Y;4
2;N;6
2;N;8
1;Y;2
3;Y;4
1;N;3
1;N;5
3;N;6
1;Y;3
1;N;6
1;N;1
3;Y;1
2;Y;4
3;Y;7
3;Y;4
3;N;2
3;N;6
3;N;8
3;Y;5
2;Y;5
3;N;3
2;N;5
1;Y;1
2;Y;8
1;N;1
2;N;8
2;Y;5
3;Y;10
1;Y;2
1;N;5
1;N;2
3;Y;10
3;N;6
3;N;3
1;Y;5
2;Y;4
3;N;8
1;N;3
3;N;5
1;Y;3
1;Y;5
1;Y;2
3;Y;1
1;Y;3
2;Y;6
2;Y;1
1;Y;3
3;Y;11
3;N;12
2;N;4
1;N;4
2;Y;7
1;Y;2
2;Y;4
2;Y;2
3;N;11
1;N;5
1;N;2
2;N;2
3;Y;12
2;Y;3
3;N;3
3;N;10
2;Y;1
1;N;6
2;N;5
1;N;3
3;N;3
1;N;1
3;Y;4
3;N;11
2;Y;8
1;N;1
3;N;2
1;N;1
2;Y;7
3;N;3
3;N;5
2;Y;8
2;N;3
3;Y;11
2;Y;3
2;Y;8
1;N;4
3;N;2
2;N;7
2;N;2
3;Y;12
3;Y;4
2;N;7
2;N;1
2;Y;7
2;Y;1
1;N;4
3;N;11
3;N;5
3;N;8
2;Y;4
2;N;3
1;Y;3
2;N;8
2;Y;5
1;N;3
2;Y;6
2;N;3
3;Y;9
3;Y;10
2;N;1
2;N;4
1;Y;6
2;N;6
1;N;2
3;N;3
1;Y;2
1;N;3
3;Y;7
2;Y;2
2;Y;4
2;Y;7
3;Y;7
2;N;5
2;Y;3
2;N;7
3;Y;9
3;N;9
1;Y;5
1;Y;1
3;N;11
3;Y;2
3;Y;11
2;Y;4
3;Y;8
3;N;7
3;Y;2
3;N;8
2;Y;5
1;Y;4
2;Y;3
3;Y;1
2;Y;8
3;Y;5
3;Y;3
2;N;8
1;Y;6
2;Y;3
3;Y;4
3;Y;2
2;Y;2
3;Y;5
1;N;2
2;N;1
2;Y;7
1;N;6
2;N;4
1;N;6
3;Y;7
2;N;2
3;N;7
3;N;5
2;Y;7
2;Y;5
2;Y;6
2;N;5
3;N;8
3;N;2
3;N;5
3;Y;4
2;Y;6
3;N;6
3;N;3
2;Y;3
2;Y;8
3;N;9
2;N;2
3;Y;2
3;N;7
3;N;4
2;N;6
2;Y;1
1;Y;1
1;N;6
1;N;5
2;Y;5
1;N;1
2;N;6
1;Y;3
3;N;10
3;Y;11
1;N;6
2;N;6
2;N;2
3;Y;5
2;Y;8
2;N;1
1;N;6
1;N;3
3;N;10
2;Y;4
1;Y;1
3;N;10
3;N;7
2;Y;4
1;Y;5
2;Y;3
1;Y;6
1;N;6
1;Y;1
2;Y;6
3;Y;1
1;N;3
3;N;6
2;Y;2
1;Y;3
1;Y;2
2;N;5
1;N;5
1;Y;4
3;N;10
3;N;5
2;Y;2
3;Y;9
2;Y;6
1;Y;2
3;N;4
2;Y;8
3;Y;5
1;Y;2
2;Y;2
2;N;1
3;N;4
2;Y;1
2;Y;6
3;Y;11
1;Y;5
2;N;3
2;N;6
1;Y;1
1;Y;3
2;N;6
2;Y;6
3;N;6
1;Y;1
3;N;7
3;N;1
2;Y;2
1;N;6
1;N;4
1;Y;3
2;N;7
1;Y;2
1;N;2
3;N;4
2;N;6
2;N;1
3;Y;11
3;Y;2
3;Y;4
3;N;11
1;Y;4
2;N;1
2;Y;8
3;Y;1
1;Y;2
3;N;3
1;N;5
3;Y;6
2;N;7
2;N;2
1;Y;6
2;N;2
2;N;3
2;Y;3
1;N;6
1;N;2
1;Y;2
3;Y;3
2;Y;1
2;N;4
1;Y;4
2;N;5
1;Y;6
2;Y;8
3;N;8
3;Y;10
2;Y;5
3;N;10
2;N;7
1;Y;2
2;Y;5
2;Y;8
2;N;4
3;N;6
1;N;2
1;N;6
1;Y;2
2;N;8
1;Y;1
3;Y;4
2;N;7
3;Y;9
2;Y;5
2;Y;2
2;Y;5
3;Y;10
1;N;3
3;Y;2
3;N;4
3;Y;12
1;Y;5
1;N;4
1;Y;1
2;Y;2
3;Y;8
3;Y;10
3;Y;2
2;Y;5
2;Y;7
3;N;4
1;Y;5
1;Y;6
3;N;4
2;Y;3
3;N;9
3;Y;5
2;Y;6
2;N;4
2;N;1
3;Y;2
1;Y;4
2;N;5
1;N;2
3;Y;1
3;N;11
3;Y;2
1;N;4
1;N;2
2;N;7
2;N;6
1;Y;6
2;N;3
3;Y;11
1;N;1
2;Y;5
3;Y;9
3;N;1
2;N;2
1;N;2
3;N;1
3;N;7
3;Y;10
3;N;8
2;N;4
1;N;4
3;Y;8
1;N;5
3;N;10
2;Y;5
3;Y;9
2;Y;2
3;N;11
3;N;6
2;Y;7
2;N;7
1;Y;6
2;N;4
3;N;11
2;Y;2
3;N;12
1;N;2
2;N;7
3;N;7
3;N;7
2;Y;5
1;N;3
3;N;9
2;N;1
1;N;1
1;N;3
3;N;1
2;Y;8
3;N;9
3;N;3
1;N;1
2;N;8
3;N;4
3;N;4
3;N;6
3;N;4
3;Y;12
2;Y;2
3;Y;9
3;N;7
3;N;5
3;Y;4
1;N;6
2;Y;1
2;N;3
2;Y;5
3;Y;5
1;N;4
1;Y;1
1;Y;5
2;N;6
2;N;2
2;Y;7
3;Y;6
1;N;1
1;N;2
3;Y;4
2;Y;1
3;N;9
3;N;6
1;Y;6
3;N;8
1;Y;5
1;N;3
1;Y;1
2;N;1
1;N;5
1;Y;3
3;N;4
3;N;12
3;N;1
2;Y;2
3;Y;8
3;Y;2
1;Y;6
3;Y;11
3;Y;4
